channel,delta
AF3,0.004349390489835041
AF4,0.004659970612860093
AF7,0.003877293299219173
AF8,0.004659023716474039
AFz,0.004487954852744918
C1,0.003986234271026576
C2,0.0038639085190767535
C3,0.0031290079074559485
C4,0.0030917357718837288
C5,0.0026578730447201905
C6,0.003029620523831325
CP1,0.00382759652110806
CP2,0.004239481117107952
CP3,0.003836196841191087
CP4,0.004186925231603821
CP5,0.0030812280195789987
CP6,0.003991011662466115
CPz,0.004379966551689089
Cz,0.0037673879088131333
F1,0.004119069567325603
F2,0.003982408654316374
F3,0.003840973336608391
F4,0.004161118496989202
F5,0.003926031831329273
F6,0.004673355691676599
F7,0.003810400958401315
F8,0.004422966459617832
FC1,0.003769296535731138
FC2,0.00410091814801045
FC3,0.00386295694346347
FC4,0.0039394128282667
FC5,0.0034319610892189685
FC6,0.003966162875178454
FCz,0.003789366736882951
FT7,0.0033641068187531113
FT8,0.003111811946517116
Fp1,0.00404262393699905
Fp2,0.004824349675026667
Fpz,0.004513764076310188
Fz,0.004064599479654004
Iz,0.007165716703893403
O1,0.007732414030449782
O2,0.00828669667026987
Oz,0.007488720971667211
P1,0.004619833595529355
P2,0.005289750294134233
P3,0.004894112671968574
P4,0.005302178819436141
P5,0.0050795080352088115
P6,0.006223437719525442
P7,0.004745030600951358
P8,0.006373468578531213
PO3,0.006342891720212957
PO4,0.006827413055577584
PO7,0.007017582624400544
PO8,0.008010518624041176
POz,0.006758601833365028
Pz,0.005593650571399358
T10,0.0019277383753659367
T7,0.0025575292071389963
T8,0.00245240090949841
T9,0.0015588707117172318
TP7,0.0029015684928953836
TP8,0.003697628794634254
