volunteer,channel,ETC for EyesOpen,ETC for EyesClosed
S001,Fc5.,0.025627669548911346,0.09417647671632462
S001,Fc3.,0.07052818001875195,0.09230128138347744
S001,Fc1.,0.07959162412751328,0.09688509219710387
S001,Fcz.,0.0884467131992916,0.09584331701218878
S001,Fc2.,0.08698822794041046,0.09594749453068029
S001,Fc4.,0.0874049380143765,0.09594749453068029
S001,Fc6.,0.092822168975935,0.09771851234503594
S002,Fc5.,0.11563704552557558,0.12938847796645483
S002,Fc3.,0.07344515053651422,0.11980414626523596
S002,Fc1.,0.05802687779977081,0.1180331284508803
S002,Fcz.,0.0742785706844463,0.10771955412022086
S002,Fc2.,0.04990103135743307,0.11532451297010106
S002,Fc4.,0.07938326909053027,0.10834461923116992
S002,Fc6.,0.0862589853109699,0.11636628815501615
S003,Fc5.,0.06375664131680384,0.08365454734868215
S003,Fc3.,0.06240233357641421,0.08344619231169914
S003,Fc1.,0.059589540577143454,0.0907386186061048
S003,Fcz.,0.04990103135743307,0.08990519845817273
S003,Fc2.,0.041566829878112305,0.0907386186061048
S003,Fc4.,0.022710699031149077,0.08396707990415668
S003,Fc6.,0.025419314511928325,0.08063339931242838
