volunteer,channel,ETC for EyesOpen,ETC for EyesClosed
S001,FC5,0.0671875,0.059375
S001,FC3,0.06666666666666667,0.058958333333333335
S001,FC1,0.0659375,0.060625
S001,FCz,0.06625,0.0603125
S001,FC2,0.0675,0.059895833333333336
S001,FC4,0.066875,0.0615625
S001,FC6,0.0675,0.06072916666666667
S001,C5,0.06583333333333333,0.057604166666666665
S001,C3,0.06458333333333334,0.056875
S001,C1,0.06625,0.058020833333333334
S001,Cz,0.06625,0.0578125
S001,C2,0.06635416666666667,0.06
S001,C4,0.06645833333333333,0.059479166666666666
S001,C6,0.06854166666666667,0.058645833333333335
S001,CP5,0.065625,0.06125
S001,CP3,0.0665625,0.0578125
S001,CP1,0.06885416666666666,0.05395833333333333
S001,CPz,0.06572916666666667,0.05333333333333334
S001,CP2,0.065,0.05375
S001,CP4,0.06645833333333333,0.0559375
S001,CP6,0.06625,0.0565625
S001,Fp1,0.0696875,0.057291666666666664
S001,Fpz,0.0671875,0.0578125
S001,Fp2,0.06791666666666667,0.059270833333333335
S001,AF7,0.0684375,0.058645833333333335
S001,AF3,0.068125,0.058854166666666666
S001,AFz,0.06635416666666667,0.060208333333333336
S001,AF4,0.06458333333333334,0.06010416666666667
S001,AF8,0.066875,0.059166666666666666
S001,F7,0.0675,0.058229166666666665
S001,F5,0.06677083333333333,0.06229166666666667
S001,F3,0.06677083333333333,0.0603125
S001,F1,0.06625,0.057291666666666664
S001,Fz,0.06520833333333333,0.0571875
S001,F2,0.0671875,0.06
S001,F4,0.06625,0.06125
S001,F6,0.06677083333333333,0.06145833333333333
S001,F8,0.066875,0.059479166666666666
S001,FT7,0.0675,0.060208333333333336
S001,FT8,0.066875,0.0596875
S001,T7,0.068125,0.06416666666666666
S001,T8,0.06864583333333334,0.06072916666666667
S001,T9,0.06510416666666667,0.06260416666666667
S001,T10,0.06479166666666666,0.059479166666666666
S001,TP7,0.06625,0.05979166666666667
S001,TP8,0.06770833333333333,0.059166666666666666
S001,P7,0.06760416666666667,0.058333333333333334
S001,P5,0.06489583333333333,0.052395833333333336
S001,P3,0.06635416666666667,0.056354166666666664
S001,P1,0.0659375,0.0528125
S001,Pz,0.0646875,0.051666666666666666
S001,P2,0.06520833333333333,0.051354166666666666
S001,P4,0.06677083333333333,0.0525
S001,P6,0.06604166666666667,0.050729166666666665
S001,P8,0.06677083333333333,0.04958333333333333
S001,PO7,0.06635416666666667,0.052083333333333336
S001,PO3,0.06739583333333334,0.0540625
S001,POz,0.065625,0.0496875
S001,PO4,0.06645833333333333,0.04927083333333333
S001,PO8,0.06489583333333333,0.0484375
S001,O1,0.068125,0.04666666666666667
S001,Oz,0.06645833333333333,0.044270833333333336
S001,O2,0.06677083333333333,0.0440625
S001,Iz,0.06427083333333333,0.044583333333333336
S002,FC5,0.06677083333333333,0.057291666666666664
S002,FC3,0.06489583333333333,0.0578125
S002,FC1,0.06395833333333334,0.058125
S002,FCz,0.0621875,0.058020833333333334
S002,FC2,0.06229166666666667,0.059166666666666666
